zpid,street,zipcode,city,state,latitude,longitude,amount,lowAmount,highAmount,percentile,elemSchool,midSchool
15122320,2728 Ulloa St,94116,San Francisco,CA,37.740981,-122.485804,815820,734238,921877,48,Dianne Feinstein Elementary,Aptos Middle
15122351,2443 27th Ave,94116,San Francisco,CA,37.741826,-122.484534,783839,705455,877900,39,Dianne Feinstein Elementary,Aptos Middle
15122353,2451 27th Ave,94116,San Francisco,CA,37.741689,-122.484524,771951,671597,880024,36,Dianne Feinstein Elementary,Aptos Middle
15122371,2468 28th Ave,94116,San Francisco,CA,37.741365,-122.484918,894341,787020,1001662,66,Dianne Feinstein Elementary,Aptos Middle
15122372,2462 28th Ave,94116,San Francisco,CA,37.741458,-122.484925,726710,646772,813915,23,Dianne Feinstein Elementary,Aptos Middle
15122373,2456 28th Ave,94116,San Francisco,CA,37.741551,-122.484931,724809,630584,826282,23,Dianne Feinstein Elementary,Aptos Middle
15122378,2430 28th Ave,94116,San Francisco,CA,37.742013,-122.484963,966499,850519,1111474,76,Dianne Feinstein Elementary,Aptos Middle
15122379,2426 28th Ave,94116,San Francisco,CA,37.742082,-122.484968,817005,718964,906876,49,Dianne Feinstein Elementary,Aptos Middle
15122415,2458 27th Ave,94116,San Francisco,CA,37.741581,-122.483858,825276,734496,924309,51,Dianne Feinstein Elementary,Aptos Middle
15122421,2434 27th Ave,94116,San Francisco,CA,37.741992,-122.483887,858758,755707,953221,60,Dianne Feinstein Elementary,Aptos Middle
15122427,2423 25th Ave,94116,San Francisco,CA,37.742263,-122.482415,830509,730848,930170,53,Dianne Feinstein Elementary,Aptos Middle
15122432,2443 25th Ave,94116,San Francisco,CA,37.74192,-122.482391,1073929,923579,1224279,84,Dianne Feinstein Elementary,Aptos Middle
15122433,2447 25th Ave,94116,San Francisco,CA,37.741852,-122.482386,2089084,1671267,2527792,99,Dianne Feinstein Elementary,Aptos Middle
15122439,2471 25th Ave,94116,San Francisco,CA,37.74144,-122.482358,910561,810399,1010723,69,Dianne Feinstein Elementary,Aptos Middle
15122452,2466 26th Ave,94116,San Francisco,CA,37.741491,-122.482778,1024064,880695,1157192,81,Dianne Feinstein Elementary,Aptos Middle
15122495,2458 25th Ave,94116,San Francisco,CA,37.741675,-122.481715,748793,673914,838648,30,Dianne Feinstein Elementary,Aptos Middle
15122504,2422 25th Ave,94116,San Francisco,CA,37.742292,-122.481758,922890,812143,1033637,70,Dianne Feinstein Elementary,Aptos Middle
15122509,2431 23rd Ave,94116,San Francisco,CA,37.74229,-122.480267,847826,746087,949565,57,Dianne Feinstein Elementary,Aptos Middle
15122530,2238 Ulloa St,94116,San Francisco,CA,37.741213,-122.480573,798162,710364,893941,43,Dianne Feinstein Elementary,Aptos Middle
15122531,2244 Ulloa St,94116,San Francisco,CA,37.741141,-122.480654,725116,630851,812130,23,Dianne Feinstein Elementary,Aptos Middle
15122550,2419 22nd Ave,94116,San Francisco,CA,37.74244,-122.479202,1344836,1129662,1573458,93,Dianne Feinstein Elementary,Aptos Middle
15122551,2425 22nd Ave,94116,San Francisco,CA,37.742336,-122.479195,876895,736592,1034736,64,Dianne Feinstein Elementary,Aptos Middle
15122552,2429 22nd Ave,94116,San Francisco,CA,37.742268,-122.47919,944964,793770,1077259,73,Dianne Feinstein Elementary,Aptos Middle
15122556,2447 22nd Ave,94116,San Francisco,CA,37.741993,-122.479171,765427,627650,903204,34,Dianne Feinstein Elementary,Aptos Middle
15122624,2406 22nd Ave,94116,San Francisco,CA,37.742677,-122.47856,1151160,1013021,1289299,87,Dianne Feinstein Elementary,Aptos Middle
15122632,2457 20th Ave,94116,San Francisco,CA,37.741919,-122.477015,827024,669889,975888,51,Dianne Feinstein Elementary,Aptos Middle
15122641,2488 21st Ave,94116,San Francisco,CA,37.741352,-122.477392,795836,716252,907253,43,Dianne Feinstein Elementary,Aptos Middle
15122666,2488 20th Ave,94116,San Francisco,CA,37.741397,-122.476319,808748,703611,905798,46,Dianne Feinstein Elementary,Aptos Middle
15122670,2464 20th Ave,94116,San Francisco,CA,37.741808,-122.476348,1103985,949427,1236463,85,Dianne Feinstein Elementary,Aptos Middle
15122694,2479 18th Ave,94116,San Francisco,CA,37.741636,-122.474851,813187,691209,959561,47,West Portal Elementary,Herbert Hoover Middle
15122700,1732 Ulloa St,94116,San Francisco,CA,37.741417,-122.475139,796261,700710,907738,43,West Portal Elementary,Herbert Hoover Middle
15122712,2446 19th Ave,94116,San Francisco,CA,37.742168,-122.475259,813413,715803,927291,47,West Portal Elementary,Herbert Hoover Middle
15122718,2414 19th Ave,94116,San Francisco,CA,37.742717,-122.475275,843622,742387,970165,56,West Portal Elementary,Herbert Hoover Middle
15122728,2443 17th Ave,94116,San Francisco,CA,37.7423,-122.473823,1502551,1337270,1742959,96,West Portal Elementary,Herbert Hoover Middle
15122732,2459 17th Ave,94116,San Francisco,CA,37.742025,-122.473804,1035176,859196,1200804,82,West Portal Elementary,Herbert Hoover Middle
15122734,2467 17th Ave,94116,San Francisco,CA,37.741888,-122.473795,1368915,1163578,1574252,94,West Portal Elementary,Herbert Hoover Middle
15122741,1620 Ulloa St,94116,San Francisco,CA,37.741505,-122.473889,970717,825109,1077496,76,West Portal Elementary,Herbert Hoover Middle
15122747,2478 18th Ave,94116,San Francisco,CA,37.741663,-122.474195,1150606,1001027,1300185,87,West Portal Elementary,Herbert Hoover Middle
15122757,2438 18th Ave,94116,San Francisco,CA,37.74235,-122.474243,707842,587509,828175,17,West Portal Elementary,Herbert Hoover Middle
15122761,2422 18th Ave,94116,San Francisco,CA,37.742624,-122.474262,846193,744650,990046,57,West Portal Elementary,Herbert Hoover Middle
15122769,2443 16th Ave,94116,San Francisco,CA,37.742333,-122.472752,962648,818251,1049286,75,West Portal Elementary,Herbert Hoover Middle
15122770,2447 16th Ave,94116,San Francisco,CA,37.742264,-122.472747,1220497,1074037,1403572,90,West Portal Elementary,Herbert Hoover Middle
15122774,2463 16th Ave,94116,San Francisco,CA,37.741992,-122.472728,1116301,960019,1272583,86,West Portal Elementary,Herbert Hoover Middle
15122787,2482 17th Ave,94116,San Francisco,CA,37.741648,-122.473172,842211,757990,968543,56,West Portal Elementary,Herbert Hoover Middle
15122794,2454 17th Ave,94116,San Francisco,CA,37.742123,-122.473153,818392,728369,941151,49,West Portal Elementary,Herbert Hoover Middle
15122796,2446 17th Ave,94116,San Francisco,CA,37.74226,-122.473162,770184,662358,854904,36,West Portal Elementary,Herbert Hoover Middle
15122810,2447 15th Ave,94116,San Francisco,CA,37.742326,-122.47165,1293475,1086519,1487496,92,West Portal Elementary,Herbert Hoover Middle
15122813,2475 15th Ave,94116,San Francisco,CA,37.741841,-122.471606,1274087,1108456,1465200,91,West Portal Elementary,Herbert Hoover Middle
15122818,1424 Ulloa St,94116,San Francisco,CA,37.741611,-122.471728,903644,786170,1012081,68,West Portal Elementary,Herbert Hoover Middle
15122856,2449 14th Ave,94116,San Francisco,CA,37.742353,-122.470524,1083907,942999,1235654,84,West Portal Elementary,Herbert Hoover Middle
15122858,2459 14th Ave,94116,San Francisco,CA,37.742189,-122.470513,1142369,948166,1325148,87,West Portal Elementary,Herbert Hoover Middle
15122917,2428 14th Ave,94116,San Francisco,CA,37.742698,-122.469865,1217778,1083822,1376089,89,West Portal Elementary,Herbert Hoover Middle
15122953,88 Forest Side Ave,94127,San Francisco,CA,37.741768,-122.468747,1356626,1153132,1600819,73,West Portal Elementary,Herbert Hoover Middle
15122962,2566 14th Ave,94127,San Francisco,CA,37.740242,-122.469729,1664559,1448166,1880952,84,West Portal Elementary,Herbert Hoover Middle
15122972,1251 Ulloa St,94116,San Francisco,CA,37.741198,-122.469544,1173671,997620,1349722,88,West Portal Elementary,Herbert Hoover Middle
15122973,1245 Ulloa St,94116,San Francisco,CA,37.741201,-122.469456,1225699,1090872,1385040,90,West Portal Elementary,Herbert Hoover Middle
15122978,124 Forest Side Ave,94127,San Francisco,CA,37.741017,-122.469046,1291570,1136582,1407811,68,West Portal Elementary,Herbert Hoover Middle
15122983,152 Forest Side Ave,94127,San Francisco,CA,37.740583,-122.46923,1426159,1212235,1611560,77,West Portal Elementary,Herbert Hoover Middle
15122988,184 Forest Side Ave,94127,San Francisco,CA,37.740173,-122.469409,2019597,1635874,2383124,92,West Portal Elementary,Herbert Hoover Middle
15123001,2531 14th Ave,94127,San Francisco,CA,37.740784,-122.470402,1228581,1093437,1376011,64,West Portal Elementary,Herbert Hoover Middle
15123002,2535 14th Ave,94127,San Francisco,CA,37.740715,-122.470397,1215295,1081613,1373283,63,West Portal Elementary,Herbert Hoover Middle
